CSD Number,Province Code,Indicator,Indicator Sort,Children Count,Percent,Value Status
1001308,10,Lone Parent,5,0,0.0,Reportable
1001312,10,Below LIM,1,0,0.0,Reportable
1001312,10,Indigenous Identity,2,0,0.0,Reportable
1001312,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001312,10,Immigrant Parent(s),4,0,0.0,Reportable
1001312,10,Lone Parent,5,15,60.0,Reportable
1001316,10,Below LIM,1,,,Suppressed
1001316,10,Indigenous Identity,2,0,0.0,Reportable
1001316,10,Parent(s) Less Than High School,3,0,,Reportable
1001316,10,Immigrant Parent(s),4,0,,Reportable
1001316,10,Lone Parent,5,0,,Reportable
1001321,10,Below LIM,1,0,0.0,Reportable
1001321,10,Indigenous Identity,2,0,0.0,Reportable
1001321,10,Parent(s) Less Than High School,3,0,,Reportable
1001321,10,Immigrant Parent(s),4,0,,Reportable
1001321,10,Lone Parent,5,0,,Reportable
1001325,10,Below LIM,1,0,0.0,Reportable
1001325,10,Indigenous Identity,2,0,0.0,Reportable
1001325,10,Parent(s) Less Than High School,3,0,,Reportable
1001325,10,Immigrant Parent(s),4,0,,Reportable
1001325,10,Lone Parent,5,0,,Reportable
1001328,10,Below LIM,1,,,Suppressed
1001328,10,Indigenous Identity,2,0,0.0,Reportable
1001328,10,Parent(s) Less Than High School,3,0,,Reportable
1001328,10,Immigrant Parent(s),4,0,,Reportable
1001328,10,Lone Parent,5,0,,Reportable
1001332,10,Below LIM,1,0,0.0,Reportable
1001332,10,Indigenous Identity,2,0,0.0,Reportable
1001332,10,Parent(s) Less Than High School,3,0,,Reportable
1001332,10,Immigrant Parent(s),4,0,,Reportable
1001332,10,Lone Parent,5,0,,Reportable
1001335,10,Below LIM,1,0,0.0,Reportable
1001335,10,Indigenous Identity,2,0,0.0,Reportable
1001335,10,Parent(s) Less Than High School,3,0,,Reportable
1001335,10,Immigrant Parent(s),4,0,,Reportable
1001335,10,Lone Parent,5,0,,Reportable
1001339,10,Below LIM,1,0,0.0,Reportable
1001339,10,Indigenous Identity,2,0,0.0,Reportable
1001339,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001339,10,Immigrant Parent(s),4,0,0.0,Reportable
1001339,10,Lone Parent,5,45,69.23076923076923,Reportable
1001343,10,Below LIM,1,0,0.0,Reportable
1001343,10,Indigenous Identity,2,0,0.0,Reportable
1001343,10,Parent(s) Less Than High School,3,0,,Reportable
1001343,10,Immigrant Parent(s),4,0,,Reportable
1001343,10,Lone Parent,5,0,,Reportable
1001347,10,Below LIM,1,0,0.0,Reportable
1001347,10,Indigenous Identity,2,0,0.0,Reportable
1001347,10,Parent(s) Less Than High School,3,0,,Reportable
1001347,10,Immigrant Parent(s),4,0,,Reportable
1001347,10,Lone Parent,5,0,,Reportable
1001352,10,Below LIM,1,0,0.0,Reportable
1001352,10,Indigenous Identity,2,0,0.0,Reportable
1001352,10,Parent(s) Less Than High School,3,0,,Reportable
1001352,10,Immigrant Parent(s),4,0,,Reportable
1001352,10,Lone Parent,5,0,,Reportable
1001357,10,Below LIM,1,0,0.0,Reportable
1001357,10,Indigenous Identity,2,0,0.0,Reportable
1001357,10,Parent(s) Less Than High School,3,0,,Reportable
1001357,10,Immigrant Parent(s),4,0,,Reportable
1001357,10,Lone Parent,5,0,,Reportable
1001361,10,Below LIM,1,0,0.0,Reportable
1001361,10,Indigenous Identity,2,0,0.0,Reportable
1001361,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001361,10,Immigrant Parent(s),4,0,0.0,Reportable
1001361,10,Lone Parent,5,0,0.0,Reportable
1001365,10,Below LIM,1,0,0.0,Reportable
1001365,10,Indigenous Identity,2,0,0.0,Reportable
1001365,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001365,10,Immigrant Parent(s),4,0,0.0,Reportable
1001365,10,Lone Parent,5,25,41.66666666666667,Reportable
1001370,10,Below LIM,1,50,23.3,Reportable
1001370,10,Indigenous Identity,2,10,4.7,Reportable
1001370,10,Parent(s) Less Than High School,3,10,4.545454545454546,Reportable
1001370,10,Immigrant Parent(s),4,0,0.0,Reportable
1001370,10,Lone Parent,5,35,15.909090909090908,Reportable
1001374,10,Below LIM,1,0,0.0,Reportable
1001374,10,Indigenous Identity,2,0,0.0,Reportable
1001374,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001374,10,Immigrant Parent(s),4,0,0.0,Reportable
1001374,10,Lone Parent,5,0,0.0,Reportable
1001375,10,Below LIM,1,0,0.0,Reportable
1001375,10,Indigenous Identity,2,0,0.0,Reportable
1001375,10,Parent(s) Less Than High School,3,0,,Reportable
1001375,10,Immigrant Parent(s),4,0,,Reportable
1001375,10,Lone Parent,5,0,,Reportable
1001379,10,Below LIM,1,0,0.0,Reportable
1001379,10,Indigenous Identity,2,0,0.0,Reportable
1001379,10,Parent(s) Less Than High School,3,0,0.0,Reportable
1001379,10,Immigrant Parent(s),4,0,0.0,Reportable
