Record Type,Province Code,Province Name,Is Canada,Population in Census Families,Children Aged 0 to 5,Population Status,Children Status,CSD Number,CSD Name,MIZ Identifier,MIZ Label,MIZ Analysis Label,Geography Type,Child Population Band,Child Population Band Sort,Public Denominator Flag,MIZ Status,Province Status,Indicator,Indicator Short Name,Indicator Description,Indicator Sort,Children Count,Percent,Value Status,Note Number,Note
CSD,46,Manitoba,,70,,Reportable,Suppressed,4602026,Roseau Rapids 2A,7,No MIZ,No MIZ,MIZ,Unknown / suppressed,5,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,465,55,Reportable,Reportable,4602027,Roseau River 2,7,No MIZ,No MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,3000,255,Reportable,Reportable,4602032,De Salaberry,5,Moderate MIZ,Moderate MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1085,190,Reportable,Reportable,4602037,St-Pierre-Jolys,4,Strong MIZ,Strong MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,15805,1905,Reportable,Reportable,4602041,Hanover,4,Strong MIZ,Strong MIZ,MIZ,"1,000+ children",1,"1,000+ children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,14535,1545,Reportable,Reportable,4602044,Steinbach,3,Inside non-tracted CA,Inside non-tracted CA,CA,"1,000+ children",1,"1,000+ children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,5345,570,Reportable,Reportable,4602046,Niverville,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,6135,875,Reportable,Reportable,4602053,La Broquerie,4,Strong MIZ,Strong MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,4870,460,Reportable,Reportable,4602057,Ste. Anne,4,Strong MIZ,Strong MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2410,285,Reportable,Reportable,4602061,Ste. Anne,4,Strong MIZ,Strong MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,10880,980,Reportable,Reportable,4602069,Taché,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,6720,620,Reportable,Reportable,4602075,Ritchot,1,Inside CMA,Inside CMA,CMA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,970,95,Reportable,Reportable,4603030,Montcalm,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,3465,375,Reportable,Reportable,4603040,Altona,6,Weak MIZ,Weak MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,5390,635,Reportable,Reportable,4603041,Rhineland,5,Moderate MIZ,Moderate MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,8610,985,Reportable,Reportable,4603047,Stanley,3,Inside non-tracted CA,Inside non-tracted CA,CA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,11695,1290,Reportable,Reportable,4603050,Winkler,3,Inside non-tracted CA,Inside non-tracted CA,CA,"1,000+ children",1,"1,000+ children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,8125,800,Reportable,Reportable,4603053,Morden,3,Inside non-tracted CA,Inside non-tracted CA,CA,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1070,120,Reportable,Reportable,4603058,Thompson,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1045,135,Reportable,Reportable,4603062,Roland,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2525,255,Reportable,Reportable,4603065,Morris,5,Moderate MIZ,Moderate MIZ,MIZ,250 to 999 children,2,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,1595,155,Reportable,Reportable,4603067,Morris,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2190,195,Reportable,Reportable,4603072,Dufferin,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
CSD,46,Manitoba,,2385,205,Reportable,Reportable,4603074,Carman,5,Moderate MIZ,Moderate MIZ,MIZ,50 to 249 children,3,"Under 1,000 children",Reportable,Reportable,,,,,,,,,
